hostname,landing_page,country,device_category,browser,operating_system,sessions,active_users,engaged_sessions,average_session_duration,key_events,suspected_type,evidence,recommendation
active.biyagl.com,/zh?id=15&height=44&language=zh-cn,China,mobile,Safari (in-app),iOS,219,184,56,85.2,391.0,F_non_core_or_suspicious_host,Non-core hostname appearing in Direct,Review host ownership and exclude from clean acquisition reporting until explained
www.biyapay.com,/zh,China,desktop,Chrome,Windows,209,123,127,331.01,268.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
www.biyapay.com,/en,Hong Kong,desktop,Chrome,Windows,207,171,149,390.87,342.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
www.biyapay.com,/zh/download,China,mobile,Chrome,Android,199,154,63,137.82,325.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
www.biyapay.com,/en,Pakistan,desktop,Chrome,Windows,195,145,151,320.69,338.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
signup.biyapay.com,(not set),United States,mobile,Safari (in-app),iOS,194,151,31,25.35,345.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
www.biyapay.com,/en,Indonesia,mobile,Chrome,Android,193,158,161,221.29,330.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
signup.biyapay.com,(not set),India,mobile,Android Webview,Android,183,103,36,30.96,287.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
www.biyapay.com,/zh/blogdetail/1641-comparison-and-selection-guide-for-hang,China,desktop,Chrome,Windows,176,176,18,3.72,352.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/zh/swift/detail/ABOCCNBJDEP,China,desktop,Chrome,Windows,173,173,45,5.37,346.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/zh/announcement/3-biyapay-updates/1036-biyapay-perpetual-trial-coupon-user-guide,China,mobile,Chrome,Android,172,147,68,102.29,296.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
signup.biyapay.com,(not set),Singapore,mobile,Android Webview,Android,170,93,56,80.98,254.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
active.biyagl.com,/zh?id=14&height=44&language=zh-cn,China,mobile,Safari (in-app),iOS,169,141,45,62.07,298.0,F_non_core_or_suspicious_host,Non-core hostname appearing in Direct,Review host ownership and exclude from clean acquisition reporting until explained
signup.biyapay.com,/fastreg?invite=18681216,China,mobile,Chrome,Android,169,125,158,197.35,407.0,B_cross_domain_or_signup_attribution_loss,Signup domain in Direct,"Keep for funnel analysis, exclude from SEO landing growth views"
www.biyapay.com,/zh/announcement/3/1028?height=44&language=zh-cn,China,mobile,Safari (in-app),iOS,159,146,62,45.04,296.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/zh/blogdetail/2958-sp-500-etf-showdown-spy-vs-voo-vs-ivv-which-one-wi,Singapore,desktop,Chrome,Windows,159,160,2,0.97,314.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/en,India,desktop,Chrome,Windows,156,121,110,224.58,273.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
signup.biyapay.com,/download,China,mobile,Safari (in-app),iOS,153,108,134,234.9,348.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
www.biyapay.com,/zh/blogdetail/3121-us-stock-market-hours-during-daylight-saving-time,Singapore,desktop,Chrome,Windows,153,153,1,1.19,298.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
invest.biyapay.com,/en/404,Indonesia,desktop,Chrome,Windows,149,150,2,0.99,300.0,F_broken_route_or_invalid_entry,404 page ranking in Direct top entries,"Audit broken links, redirects, and app/webview routing"
www.biyapay.com,/zh,China,mobile,Chrome,Android,146,123,114,197.18,233.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
signup.biyapay.com,(not set),Nigeria,mobile,Chrome,Android,145,112,29,46.56,220.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
signup.biyapay.com,/fastreg?invite=15658771,China,mobile,Chrome,Android,145,114,130,183.87,378.0,B_cross_domain_or_signup_attribution_loss,Signup domain in Direct,"Keep for funnel analysis, exclude from SEO landing growth views"
signup.biyapay.com,(not set),Singapore,mobile,Safari (in-app),iOS,137,109,21,46.08,244.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
www.biyapay.com,/en,China,mobile,Android Webview,Android,137,133,57,76.68,271.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
invest.biyapay.com,/en/404,Hong Kong,desktop,Chrome,Windows,135,135,0,1.3,268.0,F_broken_route_or_invalid_entry,404 page ranking in Direct top entries,"Audit broken links, redirects, and app/webview routing"
invest.biyapay.com,/en/404,Vietnam,desktop,Chrome,Windows,132,132,9,0.73,254.0,F_broken_route_or_invalid_entry,404 page ranking in Direct top entries,"Audit broken links, redirects, and app/webview routing"
signup.biyapay.com,/download,China,tablet,Chrome,Android,132,124,132,245.6,477.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
signup.biyapay.com,(not set),United States,desktop,Chrome,Windows,131,101,20,20.3,230.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
signup.biyapay.com,(not set),United States,mobile,Android Webview,Android,130,90,47,108.63,200.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
www.biyapay.com,/en/login,China,mobile,Safari,iOS,129,112,94,234.89,239.0,D_login_or_signup_return_flow,Auth page treated as Direct landing,Separate lifecycle traffic from acquisition and inspect cross-domain/session continuity
www.biyapay.com,(not set),China,desktop,Chrome,Windows,127,77,1,1.15,131.0,G_measurement_gap,Landing page not set,Audit tagging and route measurement
www.biyapay.com,/zh/login,China,desktop,Chrome,Windows,126,95,97,569.57,183.0,D_login_or_signup_return_flow,Auth page treated as Direct landing,Separate lifecycle traffic from acquisition and inspect cross-domain/session continuity
www.biyapay.com,/en,China,desktop,Chrome,Macintosh,122,112,86,303.49,217.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
active.biyagl.com,/zh?id=13&height=44&language=zh-cn,China,mobile,Safari (in-app),iOS,121,102,32,104.98,214.0,F_non_core_or_suspicious_host,Non-core hostname appearing in Direct,Review host ownership and exclude from clean acquisition reporting until explained
invest.biyapay.com,/en/login,Indonesia,mobile,Chrome,Android,120,118,118,110.78,4.0,D_login_or_signup_return_flow,Auth page treated as Direct landing,Separate lifecycle traffic from acquisition and inspect cross-domain/session continuity
www.biyapay.com,(not set),China,desktop,Edge,Windows,119,51,2,0.4,116.0,G_measurement_gap,Landing page not set,Audit tagging and route measurement
invest.biyapay.com,/en,China,desktop,Chrome,Windows,118,106,66,183.61,105.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
www.biyapay.com,/en,China,desktop,Edge,Windows,118,92,97,412.99,197.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
www.biyapay.com,/zh/announcement/3-post-BiyaPay-News/261-post-Reminder:-P?height=44&language=zh-cn,China,mobile,Safari (in-app),iOS,118,109,39,47.25,224.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
active.biyagl.com,/zh?id=16&height=44&language=zh-cn,China,mobile,Safari (in-app),iOS,117,100,24,39.82,213.0,F_non_core_or_suspicious_host,Non-core hostname appearing in Direct,Review host ownership and exclude from clean acquisition reporting until explained
www.biyapays.com,/,China,desktop,Chrome,Windows,117,117,6,32.21,233.0,F_non_core_or_suspicious_host,Non-core hostname appearing in Direct,Review host ownership and exclude from clean acquisition reporting until explained
signup.biyapay.com,/download,Hong Kong,mobile,Chrome,Android,116,87,113,326.15,285.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
invest.biyapay.com,/en/404,Japan,desktop,Chrome,Windows,115,115,1,0.75,230.0,F_broken_route_or_invalid_entry,404 page ranking in Direct top entries,"Audit broken links, redirects, and app/webview routing"
signup.biyapay.com,(not set),Taiwan,mobile,Android Webview,Android,113,61,39,57.47,168.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
www.biyapay.com,/en/login,United States,desktop,Chrome,Windows,110,58,57,225.33,157.0,D_login_or_signup_return_flow,Auth page treated as Direct landing,Separate lifecycle traffic from acquisition and inspect cross-domain/session continuity
www.biyapay.com,/en,Indonesia,desktop,Chrome,Linux,109,55,101,328.87,86.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
www.biyapay.com,/en,Japan,desktop,Chrome,Windows,108,95,83,454.04,191.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
www.biyapay.com,/zh/iban,Cambodia,desktop,Chrome,Windows,108,8,90,212.86,111.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/en,United States,mobile,Safari,iOS,107,107,51,145.79,215.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
signup.biyapay.com,(not set),Hong Kong,mobile,Chrome,Android,104,81,20,80.28,169.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
www.biyapay.com,/zh/blogdetail/3010-china-ashare-beginners-guide-master-market-hours-a,United States,desktop,Chrome,Windows,101,101,2,1.77,176.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/en,United States,desktop,Chrome,Linux,100,100,23,4.92,198.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
www.biyapay.com,/en/login,Indonesia,desktop,Chrome,Linux,99,97,96,345.45,56.0,D_login_or_signup_return_flow,Auth page treated as Direct landing,Separate lifecycle traffic from acquisition and inspect cross-domain/session continuity
signup.biyapay.com,/download,China,mobile,Edge,Android,97,80,92,166.46,299.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
signup.biyapay.com,/download,Pakistan,mobile,Chrome,Android,97,72,93,99.53,265.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
signup.biyapay.com,(not set),Singapore,desktop,Chrome,Windows,96,90,16,17.06,182.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
signup.biyapay.com,/fastreg?invite=38190169,Bangladesh,mobile,Chrome,Android,95,77,72,162.89,199.0,B_cross_domain_or_signup_attribution_loss,Signup domain in Direct,"Keep for funnel analysis, exclude from SEO landing growth views"
www.biyapay.com,/en,Singapore,desktop,Chrome,Macintosh,95,89,46,226.45,174.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
www.biyapay.com,/zh/event,Hong Kong,desktop,Chrome,Windows,95,70,93,400.8,200.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/en/blogdetail/2953-nasdaq-100-vs-sp-500-from-components-to-future-out,Singapore,desktop,Chrome,Windows,92,92,0,0.36,184.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/zh/announcement/3-biyapay-updates/1036-biyapay-perpetual-contract-trial-funds-user-guide),China,mobile,Chrome,Android,91,75,39,133.04,157.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
signup.biyapay.com,(not set),China,mobile,Edge,Android,90,61,29,84.84,136.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
signup.biyapay.com,(not set),Hong Kong,mobile,Safari,iOS,90,71,21,77.21,153.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
www.biyapay.com,/zh/stock/07709,China,desktop,Chrome,Windows,90,90,0,2.01,180.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/zh,Hong Kong,desktop,Chrome,Windows,89,66,81,366.3,129.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
www.biyapay.com,/en/blogdetail/3266-how-mainland-chinese-can-apply-for-a-hong-kong-ban,Singapore,desktop,Chrome,Windows,88,88,0,0.55,172.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/en/download,China,mobile,Safari,iOS,88,64,36,118.98,146.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
www.biyapay.com,/zh/announcement/3-post-BiyaPay-News/931-post-Anti-fraud?page=1&type=3&index=0&height=44&language=zh-cn,China,mobile,Safari (in-app),iOS,87,83,39,57.89,163.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/en,Bangladesh,mobile,Chrome,Android,86,72,66,161.13,153.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
www.biyapay.com,/zh/blogdetail/2846-dont-waste-your-time-the-most-complete-20252026-us,Hong Kong,desktop,Chrome,Windows,86,86,4,3.11,160.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
signup.biyapay.com,(not set),Taiwan,mobile,Safari (in-app),iOS,85,67,12,26.02,152.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
www.biyapay.com,/zh/announcement/3-biyapay-updates/1049,China,mobile,Safari (in-app),iOS,85,71,11,8.39,151.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
signup.biyapay.com,(not set),Taiwan,desktop,Opera,Windows,84,0,8,20.37,84.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
www.biyapay.com,/en,Netherlands,desktop,Chrome,Macintosh,82,83,72,68.48,170.0,A_probable_true_direct_or_brand,Core homepage or language home direct entry,Keep in clean reporting and monitor brand/direct share
signup.biyapay.com,(not set),Nigeria,mobile,Android Webview,Android,80,49,30,150.5,128.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
www.biyapay.com,/en/blogdetail/2958-sp-500-etf-showdown-spy-vs-voo-vs-ivv-which-one-wi,Singapore,desktop,Chrome,Windows,80,80,0,0.7,160.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/zh/announcement/3-biyapay-updates/1049,China,mobile,Android Webview,Android,80,52,36,83.58,106.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/zh/blogdetail/2737-mustknow-for-large-remittances-to-family-full-anal,Singapore,desktop,Chrome,Windows,80,80,0,0.57,158.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
signup.biyapay.com,/fastreg?invite=27751946,Indonesia,mobile,Chrome,Android,79,69,69,198.9,205.0,B_cross_domain_or_signup_attribution_loss,Signup domain in Direct,"Keep for funnel analysis, exclude from SEO landing growth views"
www.biyapay.com,/en/login,India,mobile,Chrome,Android,79,75,51,145.17,149.0,D_login_or_signup_return_flow,Auth page treated as Direct landing,Separate lifecycle traffic from acquisition and inspect cross-domain/session continuity
www.biyapay.com,/zh/blogdetail/2569-alipay-withdrawal-guide-fees-limits-and-how-to-avo,United States,desktop,Edge,Windows,79,79,72,25.58,158.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/en/download,China,mobile,Android Webview,Android,78,74,49,95.5,146.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
www.biyapay.com,/zh/blogdetail/2997-2025-ranking-of-us-media-chinese-websites-latest-g,Singapore,desktop,Chrome,Windows,77,77,0,0.73,154.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
signup.biyapay.com,/download,China,desktop,Chrome,Windows,76,60,74,275.02,188.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
www.biyapay.com,/zh/swift/detail/ABOCCNBJ410,China,desktop,Chrome,Windows,76,77,31,7.95,154.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/zh/blogdetail/3241-ultimate-guide-to-registering-wechat-solving-all-c,United States,desktop,Chrome,Windows,75,75,2,8.0,124.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
active.biyagl.com,/en?id=14,Bangladesh,mobile,Android Webview,Android,74,62,55,79.83,127.0,F_non_core_or_suspicious_host,Non-core hostname appearing in Direct,Review host ownership and exclude from clean acquisition reporting until explained
signup.biyapay.com,(not set),Japan,desktop,Chrome,Windows,74,58,30,88.48,130.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
signup.biyapay.com,/download,Japan,mobile,Chrome,Android,74,60,69,234.17,182.0,C_app_or_download_return_flow,Download/app path treated as Direct landing,Separate app return traffic from acquisition and inspect deep-link flow
www.biyapay.com,/en/blog,Singapore,desktop,Chrome,Windows,74,74,0,0.46,146.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/en/help/84-post-wallets/183-post-What-to-do?page=1&type=95&index=0,China,mobile,Safari (in-app),iOS,74,69,18,81.94,141.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/zh/blog,China,desktop,Chrome,Windows,74,74,3,2.45,148.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/en/blogdetail/3218-fed-rate-cuts-imminent-how-will-usdcny-evolve-in-2,Singapore,desktop,Chrome,Windows,73,73,0,0.72,144.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
signup.biyapay.com,(not set),Pakistan,mobile,Chrome,Android,72,53,11,40.94,112.0,B_cross_domain_or_signup_attribution_loss,Signup domain with not set landing,Audit signup flow attribution and landing-page measurement
signup.biyapay.com,/fastreg?invite=21699681,China,mobile,Chrome,Android,72,72,65,36.31,144.0,B_cross_domain_or_signup_attribution_loss,Signup domain in Direct,"Keep for funnel analysis, exclude from SEO landing growth views"
www.biyapay.com,/zh/blogdetail/3010-china-ashare-beginners-guide-master-market-hours-a,Singapore,desktop,Chrome,Windows,72,72,0,1.73,124.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/en/stock/FNMA,Italy,desktop,Chrome,Windows,71,4,66,1506.78,75.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
www.biyapay.com,/zh/blogdetail/3241-ultimate-guide-to-registering-wechat-solving-all-c,Hong Kong,desktop,Chrome,Windows,70,70,2,2.46,120.0,G_needs_manual_review,Needs manual review,Inspect with referrer/session source and logs before final classification
